AMANDA, , BELL, , F, , 12/30/2003, 570-811-9657, 570-811-9657, 340 BEACH 66ST, PH, FAR ROCKAWAY, NY, 11692, , ABELL@AMGGT.COM, , 15790506, 
BREANA, WINTER, BELL, , F, , 12/30/2003, , , 340 BEACH 66ST, PH, , , 11692, , , , 15397964, 
AMANDA, , BELL, , F, , 12/30/2003, 570-811-9657, 570-811-9657, , , , , , , , , 15544784, 

AMANDA, , WIEDEL, , F, , 11/2/2005, 609-831-9721, 609-831-9721, 735 PELHAM PARKWAY N, 1H, BRONX, NY, 10467, , AWIEDEL@AMGGT.COM, , 15415697, 
IZABELLA, M, WIEDEL, , F, , 11/2/2005, , , 735 PELHAM PARKWAY N, 1H, , , 10467, , , , 15613924, 
AMANDA, L, WIEDEL, , F, , 11/2/2005, 609-831-9721, 609-831-9721, 259 DAVIS AVENUE, PVT, BRONX, NY, 10465, , , 727334, 15530613, 

MAKAYLA, TAMI, JONES, , F, , 10/21/2005, , , 52 BEACH STREET, 4B, , , 10013, , , , 15633032, 
VIOLET, , JONES, , F, , 10/21/2005, 609-948-6663, 609-948-6663, 52 BEACH STREET, 4B, NEW YORK, NY, 10013, CRILEY, VJONES@AMGGT.COM, , 15977082, 
VIOLET, , JONES, , F, , 10/21/2005, 609-948-6663, 609-948-6663, , , , , , , , , 15638462, 

SHELBY, , WALSH, , F, , 12/20/2008, 570-932-5657, 570-932-5657, 2330 NEWBOLD AVENUE, 2B, BRONX, NY, 10462, , , , 15749756, 
CHERRI, LANE, WALSH, , F, , 12/20/2008, , , 2330 NEWBOLD AVENUE, 2B, , , 10462, , , , 15714346, 
SHELBY, , WALSH, , F, , 12/20/2008, 570-932-5657, 570-932-5657, 25JACKSON STREET, 5A, NEW YORK, NY, 10002, , , 786684, 15553566, 

MONICA, STELLA, ROBINSON, , F, , 8/21/2003, 201-192-3300, 201-192-3300, 160 SOUTH 3RD STREET, 12, BROOKLYN, NY, 11211, , MROBINSON@AMGGT.COM, , 15486645, 
MONICA, S, ROBINSON, , F, , 8/21/2003, 201-192-3300, 959-773-2701^^201-192-3300, , , , , , , , , 15664284, 
GABRIELA, C, ROBINSON, , F, , 8/21/2003, , , 160 SOUTH 3RD STREET, 12, , , 11211, , , , 16024723, 

LINDSEY, JACQUELINE, LARKIN, , F, , 10/11/2000, 610-100-7596, 610-100-7596, 478 E 7TH STREET, 1FL, BROOKLYN, NY, 11218, , LLARKIN@AMGGT.COM, , 15497270, 
PEYTON, MENUCHA, LARKIN, , F, , 10/11/2000, , , 478 E 7TH STREET, 1FL, , , 11218, , , , 15509432, 
LINDSEY, , LARKIN, , F, , 10/11/2000, 610-100-7596, 610-100-7596, 960 MONTGOMERY STREET, 2F, BROOKLYN, NY, 11225, , , 755354, 15589362, 

TAMMY, K, RAMSINGH, , F, , 12/25/1998, , , 340 ALEXANDER, 16D, , , 10454, , , , 15735913, 
JANINE, SUSAN, RAMSINGH, , F, , 12/25/1998, 201-880-8559, 201-880-8559, 340 ALEXANDER, 16D, BRONX, NY, 10454, , , , 15520018, 
JANINE, , RAMSINGH, , F, , 12/25/1998, 201-880-8559, 201-880-8559, 1530 PUMPTON, D, BRONX, NY, 10452, , , 792950, 15394221, 

DERIK, ERIC, RIVERA, , M, , 12/6/2005, , , 1423 E 80TH STREET, PH, , , 11236, , , , 16000306, 
DONALD, , RIVERA, , M, , 12/6/2005, 848-543-4063, 848-543-4063, 1423 E 80TH STREET, PH, BROOKLYN, NY, 11236, , , 723121, 15614154, 
DONALD, , RIVERA, , M, , 12/6/2005, 848-543-4063, 610-866-4762^^848-543-4063, 1423 EAST 8OTH STREET, PH, BROOKLYN, NY, 11236, , , 752760, 15390881, 

DONALD, RON, COPELAND, , M, , 12/21/2007, , , 2466 WILLIAMSBRIDGE ROAD, PH, , , 10469, , , , 15963384, 
DANIEL, , COPELAND, , M, , 12/21/2007, 212-948-2496, 212-948-2496, 2466 WILLIAMSBRIDGE ROAD, PH, BRONX, NY, 10469, , , 738894, 15940320, 
DANIEL, , COPELAND, , M, , 12/21/2007, 212-948-2496, 973-112-8300^^212-948-2496, 634 ELLSWORTH AVENUE, PH, BRONX, NY, 10465, , , 764455, 15968976, 

LARISA, SUE, NGUYEN, , F, , 12/6/2000, , , 10 WADE SQUARE, PH, , , 10457, , , , 15647972, 
MARISA, , NGUYEN, , F, , 12/6/2000, 212-561-8405, 212-561-8405, 10 WADE SQUARE, PH, BRONX, NY, 10457, , MNGUYEN@AMGGT.COM, 761654, 15613266, 
MARISA, , NGUYEN, , F, , 12/6/2000, 212-561-8405, 203-585-7146^^212-561-8405, 1995 ANTHONY AVENUE, 2FL, BRONX, NY, 10457, , , 813712, 15378986, 

MARISA, MORGAN, PURSER, , F, , 9/7/2006, , , 3661 NOSTRAND AVENUE, 3D, , , 11210, , , , 15937637, 
MONICA, , PURSER, , F, , 9/7/2006, 860-682-3347, 860-682-3347, 3661 NOSTRAND AVENUE, 3D, BROOKLYN, NY, 11210, , , 793470, 15661728, 
MONICA, , PURSER, , F, , 9/7/2006, 860-682-3347, 484-682-1769^^860-682-3347, UNABLE TO OBTAIN, UNK, BROOKLYN, NY, 11235, , , 806815, 15650737, 

KEITH, ROBERT, KIERCE, , M, , 12/19/2003, , , 285 NOSTRAND AVENUE, 2, , , 11223, , , , 15582677, 
SHELDON, , KIERCE, , M, , 12/19/2003, 934-175-2400, 934-175-2400, 285 NOSTRAND AVENUE, 2, BROOKLYN, NY, 11223, , , 793483, 15912582, 
SHELDON, MATTHEW, KIERCE, , M, , 12/19/2003, 934-175-2400, 862-249-8321^^934-175-2400, , , , , , , , 803105, 15543065, 

JADE, SUE, MENDOZA, , F, , 2/14/2001, , , 1006 INDIAN TRACE CIRCLE, 104, , , 33407, , , , 15630567, 
SADIE, MARIA, MENDOZA, , F, , 2/14/2001, 516-448-6947, 516-448-6947, 1006 INDIAN TRACE CIRCLE, 104, WEST PALM BEACH, FL, 33407, , SMENDOZA@AMGGT.COM, 825727, 15403013, 
SADIE, , MENDOZA, , F, , 2/14/2001, 516-448-6947, 860-633-5947^^516-448-6947, 2157 CRUGER AVENUE, , , , , , , 830776, 15506416, 

CHANCE, , DIAZ, , M, , 6/28/2004, , , 219 E 121 STREET, , , , 10035, , , , 15880927, 
CHANCE, , DIAZ, , M, , 6/28/2004, 516-225-3558, 516-225-3558, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 739433, 15536892, 
CHANCE, , DIAZ, , M, , 6/28/2004, 516-225-3558, 516-225-3558, 13 MABON BUILDING, , NEW YORK, NY, 10035, LOMBARDO, CDIAZ@AMGGT.COM, 778324, 15421411, 

CINDY, , MADAY, , F, , 5/26/2002, , , 858 E 217TH STREET, PH, , , 10467, , , , 16004704, 
CINDY, , MADAY, , F, , 5/26/2002, 860-114-3089, 860-114-3089, 858 E 217TH STREET, PH, BRONX, NY, 10467, , , 781547, 15418786, 
CINDY, , MADAY, , F, , 5/26/2002, 860-114-3089, 860-114-3089, 624 E 222 STREET, , BRONX, NY, 10467, , , 813404, 15387957, 

LESLIE, , HARDER, , F, , 5/8/1995, , , , , , , , , , , 15526893, 
LESLIE, R, HARDER, , F, , 5/8/1995, 860-816-4226, 860-816-4226, 995 ALDUS STREET, 5A, BRONX, NY, 10459, , LHARDER@AMGGT.COM, 789923, 15890876, 
