AMANDA, , WIEDEL, , F, , 11/2/2005, 609-831-9721, 609-831-9721, 735 PELHAM PARKWAY N, 1H, BRONX, NY, 10467, , AWIEDEL@AMGGT.COM, , 15415697, 
IZABELLA, M, WIEDEL, , F, , 11/2/2005, , , 735 PELHAM PARKWAY N, 1H, , , 10467, , , , 15613924, 
AMANDA, L, WIEDEL, , F, , 11/2/2005, 609-831-9721, 609-831-9721, 259 DAVIS AVENUE, PVT, BRONX, NY, 10465, , , 727334, 15530613, 

MONICA, STELLA, ROBINSON, , F, , 8/21/2003, 201-192-3300, 201-192-3300, 160 SOUTH 3RD STREET, 12, BROOKLYN, NY, 11211, , MROBINSON@AMGGT.COM, , 15486645, 
MONICA, S, ROBINSON, , F, , 8/21/2003, 201-192-3300, 959-773-2701^^201-192-3300, , , , , , , , , 15664284, 
GABRIELA, C, ROBINSON, , F, , 8/21/2003, , , 160 SOUTH 3RD STREET, 12, , , 11211, , , , 16024723, 

LINDSEY, JACQUELINE, LARKIN, , F, , 10/11/2000, 610-100-7596, 610-100-7596, 478 E 7TH STREET, 1FL, BROOKLYN, NY, 11218, , LLARKIN@AMGGT.COM, , 15497270, 
PEYTON, MENUCHA, LARKIN, , F, , 10/11/2000, , , 478 E 7TH STREET, 1FL, , , 11218, , , , 15509432, 
LINDSEY, , LARKIN, , F, , 10/11/2000, 610-100-7596, 610-100-7596, 960 MONTGOMERY STREET, 2F, BROOKLYN, NY, 11225, , , 755354, 15589362, 

TAMMY, K, RAMSINGH, , F, , 12/25/1998, , , 340 ALEXANDER, 16D, , , 10454, , , , 15735913, 
JANINE, SUSAN, RAMSINGH, , F, , 12/25/1998, 201-880-8559, 201-880-8559, 340 ALEXANDER, 16D, BRONX, NY, 10454, , , , 15520018, 
JANINE, , RAMSINGH, , F, , 12/25/1998, 201-880-8559, 201-880-8559, 1530 PUMPTON, D, BRONX, NY, 10452, , , 792950, 15394221, 

DERIK, ERIC, RIVERA, , M, , 12/6/2005, , , 1423 E 80TH STREET, PH, , , 11236, , , , 16000306, 
DONALD, , RIVERA, , M, , 12/6/2005, 848-543-4063, 848-543-4063, 1423 E 80TH STREET, PH, BROOKLYN, NY, 11236, , , 723121, 15614154, 
DONALD, , RIVERA, , M, , 12/6/2005, 848-543-4063, 610-866-4762^^848-543-4063, 1423 EAST 8OTH STREET, PH, BROOKLYN, NY, 11236, , , 752760, 15390881, 

MARISA, MORGAN, PURSER, , F, , 9/7/2006, , , 3661 NOSTRAND AVENUE, 3D, , , 11210, , , , 15937637, 
MONICA, , PURSER, , F, , 9/7/2006, 860-682-3347, 860-682-3347, 3661 NOSTRAND AVENUE, 3D, BROOKLYN, NY, 11210, , , 793470, 15661728, 
MONICA, , PURSER, , F, , 9/7/2006, 860-682-3347, 484-682-1769^^860-682-3347, UNABLE TO OBTAIN, UNK, BROOKLYN, NY, 11235, , , 806815, 15650737, 

KEITH, ROBERT, KIERCE, , M, , 12/19/2003, , , 285 NOSTRAND AVENUE, 2, , , 11223, , , , 15582677, 
SHELDON, , KIERCE, , M, , 12/19/2003, 934-175-2400, 934-175-2400, 285 NOSTRAND AVENUE, 2, BROOKLYN, NY, 11223, , , 793483, 15912582, 
SHELDON, MATTHEW, KIERCE, , M, , 12/19/2003, 934-175-2400, 862-249-8321^^934-175-2400, , , , , , , , 803105, 15543065, 

