MARY, , BRADSHAW, , F, , 12/15/1993, 267-253-3845, , 273 E 176TH STREET, 4B, BRONX, NY, 10457, , MBRADSHAW@AMGGT.COM, 784236, 15488145, 
MARY, LYNN, ROBERTSON, , F, , 2/15/1994, 203-189-6972, 203-189-6972, 1372 WASHINGTON AVENUE, 6D, BRONX, NY, 10456, , MROBERTSON@AMGGT.COM, 784189, 15846416, 

MARY, , BRADSHAW, , F, , 12/15/1993, , , 273 EAST 176TH STREET, 4B, BRONX, NY, 10457, , , 715960, 15548142, 
MARY, LYNN, ROBERTSON, , F, , 2/15/1994, 203-189-6972, 203-189-6972, 1372 WASHINGTON AVENUE, 6D, BRONX, NY, 10456, , MROBERTSON@AMGGT.COM, 784189, 15846416, 

QUINTEN, , DABRUZZO, JR, M, , 12/8/1996, 631-208-4007, , 1990 ELLIS AVENUE, 2G, BRONX, NY, 10472, PERKINS, QDABRUZZO@AMGGT.COM, 796799, 15755739, 
ROSALINDA, , KRULL, , F, , 12/5/1992, 347-268-7625, , 1035 ELDER AVENUE, 1R17, BRONX, NY, 10472, , , 796832, 15779315, 

QUINTEN, , DABRUZZO, , M, , 12/8/1996, , , 10 PRATT AVENUE, 1, MOUNT VERNON, NY, 10550, , , 723288, 15883732, 
ROSALINDA, , KRULL, , F, , 12/5/1992, 347-268-7625, , 1035 ELDER AVENUE, 1R17, BRONX, NY, 10472, , , 796832, 15779315, 

KENNEDY, , JACKSON, , F, , 12/30/2006, 610-444-5616, 610-444-5616, , , , , , , , 714081, 15448019, 
DON, CHARLES, JACKSON, , M, , 12/30/2006, 908-369-6370, 908-369-6370, 3152 45TH STREET, 1, LONG ISLAND CTY, NY, 11103, , , 773550, 15548927, 

KENNEDY, , JACKSON, , F, , 12/30/2006, 610-444-5616, 610-444-5616, , , , , , , , 714081, 15448019, 
DON, HARRY, JACKSON, , M, , 12/30/2006, , , 3152 45TH STREET, 1, , , 11103, , , , 15753609, 

KENNEDY, , JACKSON, , F, , 12/30/2006, 610-444-5616, 610-444-5616, 4814 41ST STREET, , LONG ISLAND CTY, NY, 11104, , , 753489, 15988367, 
DON, CHARLES, JACKSON, , M, , 12/30/2006, 908-369-6370, 908-369-6370, 3152 45TH STREET, 1, LONG ISLAND CTY, NY, 11103, , , 773550, 15548927, 

KENNEDY, , JACKSON, , F, , 12/30/2006, 610-444-5616, 610-444-5616, 4814 41ST STREET, , LONG ISLAND CTY, NY, 11104, , , 753489, 15988367, 
DON, HARRY, JACKSON, , M, , 12/30/2006, , , 3152 45TH STREET, 1, , , 11103, , , , 15753609, 

KENNEDY, , JACKSON, , F, , 12/30/2006, , , , , , , , , , , 15909239, 
DON, CHARLES, JACKSON, , M, , 12/30/2006, 908-369-6370, 908-369-6370, 3152 45TH STREET, 1, LONG ISLAND CTY, NY, 11103, , , 773550, 15548927, 

KENNEDY, , JACKSON, , F, , 12/30/2006, , , , , , , , , , , 15909239, 
